FileName,Start,End,Count
134084285090,0:01:09,0:01:35,7
,0:01:45,0:02:37,
,0:05:17,0:05:37,
,0:07:57,0:08:31,
,0:09:19,0:11:53,
,0:11:59,0:12:44,
,0:13:56,0:17:52,
134084300089,0:04:52,0:05:15,11
,0:06:56,0:07:17,
,0:07:22,0:07:51,
,0:08:57,0:09:16,
,0:09:35,0:09:52,
,0:10:15,0:10:38,
,0:13:15,0:13:47,
,0:13:55,0:14:18,
,0:15:26,0:16:00,
,0:16:16,0:16:43,
,0:18:36,0:19:01,
134084303484,0:03:05,0:03:26,4
,0:03:36,0:04:02,
,0:04:55,0:05:25,
,0:09:26,0:09:43,
134084304927,0:01:20,0:01:35,6
,0:02:01,0:02:18,
,0:04:50,0:05:07,
,0:06:15,0:06:53,
,0:07:12,0:07:28,
,0:15:02,0:15:24,
134084319944,0:03:13,0:03:29,4
,0:12:02,0:12:27,
,0:13:06,0:14:56,
,0:15:20,0:15:48,
46316400970,0:00:19,0:00:42,1
